Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S41794094,Canada Goose,Branta canadensis,324,14,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2018-01-10,11:22 AM,eBird - Traveling Count,60,1,.161,,1
S41908309,Canada Goose,Branta canadensis,324,X,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2018-01-14,04:21 PM,eBird - Stationary Count,5,1,,,1
S43348934,Canada Goose,Branta canadensis,324,17,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2018-03-03,03:06 PM,eBird - Traveling Count,45,1,.402,,1,,,"53. Strong, gusty winds. "
S44569657,Canada Goose,Branta canadensis,324,12,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2018-04-14,02:50 PM,eBird - Traveling Count,90,1,.483,,1
S44673055,Canada Goose,Branta canadensis,324,11,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2018-04-17,05:31 PM,eBird - Traveling Count,45,1,.483,,1
S45821828,Canada Goose,Branta canadensis,324,9,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2018-05-18,07:04 PM,eBird - Traveling Count,30,1,.322,,1
S50032935,Canada Goose,Branta canadensis,324,23,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2018-11-18,01:18 PM,eBird - Traveling Count,30,1,.161,,1
S52090247,Canada Goose,Branta canadensis,324,1,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2019-01-27,08:17 AM,eBird - Traveling Count,45,1,.322,,1
S58970915,Canada Goose,Branta canadensis,324,6,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2019-08-13,03:28 PM,eBird - Traveling Count,45,1,.161,,1
S67619364,Canada Goose,Branta canadensis,324,1,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2020-04-22,06:29 AM,eBird - Traveling Count,60,1,.322,,1
S68509770,Canada Goose,Branta canadensis,324,3,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2020-05-06,03:48 PM,eBird - Traveling Count,35,1,.96,,1
S68954400,Canada Goose,Branta canadensis,324,11,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2020-05-12,06:45 PM,eBird - Traveling Count,21,1,.515,,1
S69217331,Canada Goose,Branta canadensis,324,3,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2020-05-17,01:04 PM,eBird - Traveling Count,30,1,.161,,1
S78278146,Canada Goose,Branta canadensis,324,35,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2020-12-30,03:47 PM,eBird - Traveling Count,22,1,.322,,1
S79940312,Canada Goose,Branta canadensis,324,20,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2021-01-26,02:38 PM,eBird - Traveling Count,20,1,.541,,1
S82703509,Canada Goose,Branta canadensis,324,2,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2021-03-03,05:09 PM,eBird - Traveling Count,24,1,.316,,1
S82754925,Canada Goose,Branta canadensis,324,15,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2021-03-04,03:39 PM,eBird - Traveling Count,28,1,.483,,1,,,"Wild number of LBBG for the peninsula. Between here and King-Lincoln at least 15, though that feels conservative."
S82821544,Canada Goose,Branta canadensis,324,9,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2021-03-05,05:26 PM,eBird - Stationary Count,10,1,,,1
S86177657,Canada Goose,Branta canadensis,324,17,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2021-04-23,03:17 PM,eBird - Stationary Count,18,0,,,1
S99770624,Canada Goose,Branta canadensis,324,18,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2021-12-31,02:59 PM,eBird - Traveling Count,25,1,.322,,2
S100357929,Canada Goose,Branta canadensis,324,14,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2022-01-08,12:17 PM,eBird - Traveling Count,20,0,.322,,1
S101267020,Canada Goose,Branta canadensis,324,40,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2022-01-22,02:47 PM,eBird - Traveling Count,29,1,1.347,,2
S106317707,Canada Goose,Branta canadensis,324,5,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2022-04-05,07:22 AM,eBird - Traveling Count,32,1,.483,,1
S109094197,Canada Goose,Branta canadensis,324,4,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2022-05-06,09:26 AM,eBird - Stationary Count,12,1,,,1
S138023880,Canada Goose,Branta canadensis,324,9,US-VA,Newport News,L718297,Anderson Park,36.9808722,-76.3984537,2023-05-16,01:45 PM,eBird - Traveling Count,15,1,.241,,2
S67660664,Canada Goose,Branta canadensis,324,1,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2020-04-23,07:30 AM,eBird - Traveling Count,46,1,1.422,,1
S68410268,Canada Goose,Branta canadensis,324,8,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2020-05-04,04:34 PM,eBird - Traveling Count,70,1,.164,,1
S68433962,Canada Goose,Branta canadensis,324,16,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2020-05-05,08:30 AM,eBird - Stationary Count,20,1,,,1
S68506927,Canada Goose,Branta canadensis,324,7,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2020-05-06,03:05 PM,eBird - Stationary Count,27,1,,,1
S68534919,Canada Goose,Branta canadensis,324,7,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2020-05-07,07:08 AM,eBird - Traveling Count,70,1,1.384,,1
S68568154,Canada Goose,Branta canadensis,324,9,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2020-05-07,06:20 PM,eBird - Stationary Count,6,1,,,1
S68614211,Canada Goose,Branta canadensis,324,11,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2020-05-08,11:05 AM,eBird - Stationary Count,45,1,,,1
S68835651,Canada Goose,Branta canadensis,324,6,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2020-05-10,06:16 PM,eBird - Stationary Count,25,1,,,1
S68885480,Canada Goose,Branta canadensis,324,2,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2020-05-11,04:42 PM,eBird - Stationary Count,17,1,,,1
S82757072,Canada Goose,Branta canadensis,324,2,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2021-03-04,04:57 PM,eBird - Stationary Count,8,1,,,1
S85541154,Canada Goose,Branta canadensis,324,4,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2021-04-14,12:11 PM,eBird - Stationary Count,20,1,,,1
S85606111,Canada Goose,Branta canadensis,324,3,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2021-04-15,03:14 PM,eBird - Stationary Count,12,1,,,1
S86182149,Canada Goose,Branta canadensis,324,4,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2021-04-23,04:04 PM,eBird - Stationary Count,15,1,,,1
S86448858,Canada Goose,Branta canadensis,324,14,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2021-04-26,06:12 PM,eBird - Traveling Count,19,1,.239,,1
S86526605,Canada Goose,Branta canadensis,324,32,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2021-04-27,06:51 PM,eBird - Stationary Count,11,1,,,1,FL Recently Fledged Young
S106323526,Canada Goose,Branta canadensis,324,4,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-05,08:42 AM,eBird - Stationary Count,32,1,,,1
S106421223,Canada Goose,Branta canadensis,324,18,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-06,04:38 PM,eBird - Stationary Count,39,1,,,1
S106449486,Canada Goose,Branta canadensis,324,1,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-07,07:36 AM,eBird - Stationary Count,10,1,,,1
S106469367,Canada Goose,Branta canadensis,324,4,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-07,01:06 PM,eBird - Stationary Count,9,1,,,1
S106509433,Canada Goose,Branta canadensis,324,7,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-08,07:02 AM,eBird - Stationary Count,15,1,,,1
S106584504,Canada Goose,Branta canadensis,324,12,US-VA,Newport News,L11349416,Camp Morrison,37.03944,-76.464139,2022-04-09,06:54 AM,eBird - Stationary Count,8,1,,,1
