Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
21,33479,species,Mourning Warbler,Geothlypis philadelphia,1,"Monongahela National Forest, Marlinton US-WV 38.27147, -80.34383",US-WV,18 Jun 2023,L25322772,S142074510,,1
23,5428,species,Sora,Porzana carolina,1,**Back Bay NWR,US-VA,05 May 2023,L718307,S136196451,,1
24,6553,species,Iceland Gull,Larus glaucoides,1,Leeward Municipal Marina,US-VA,04 Apr 2023,L23388739,S132697378,,1
26,32408,species,Bachman's Sparrow,Peucaea aestivalis,4,Jonathan Dickinson SP,US-FL,29 May 2022,L127410,S111606953,,1
27,20906,species,Florida Scrub-Jay,Aphelocoma coerulescens,8,Jonathan Dickinson SP,US-FL,29 May 2022,L127410,S111607009,,1
28,3610,species,Chuck-will's-widow,Antrostomus carolinensis,1,Kiptopeke State Park,US-VA,22 May 2022,L718546,S111026013,,1
29,33554,species,Bay-breasted Warbler,Setophaga castanea,1,Mariners' Museum Park/The Noland Trail,US-VA,14 May 2022,L523043,S110091760,,1
32,6519,species,Glaucous Gull,Larus hyperboreus,1,King-Lincoln Park,US-VA,06 Apr 2022,L5292802,S106429710,,1
33,17116,species,Streaked Flycatcher,Myiodynastes maculatus,8,Recreo Suteba - Tigre,AR-B,17 Dec 2021,L17131405,S99074268,,1
34,16395,species,Large Elaenia,Elaenia spectabilis,1,Recreo Suteba - Tigre,AR-B,17 Dec 2021,L17131405,S99074268,,1
35,15750,species,White-winged Becard,Pachyramphus polychopterus,1,Recreo Suteba - Tigre,AR-B,17 Dec 2021,L17131405,S99074268,,1
36,5414,species,Gray-cowled Wood-Rail,Aramides cajaneus,1,Recreo Suteba - Tigre,AR-B,17 Dec 2021,L17131405,S99074268,,1
37,12955,species,White-eyed Parakeet,Psittacara leucophthalmus,2,Parque 3 de Febrero (Bosques de Palermo),AR-C,14 Dec 2021,L1295521,S98880887,,1
41,23687,species,Brown-chested Martin,Progne tapera,3,Reserva Ecológica Costanera Sur,AR-C,12 Dec 2021,L472208,S98881131,,1
42,18914,species,Chivi Vireo,Vireo chivi,6,Reserva Ecológica Costanera Sur,AR-C,12 Dec 2021,L472208,S98881131,,1
43,16397,species,Olivaceous Elaenia,Elaenia mesoleuca,1,Reserva Ecológica Costanera Sur,AR-C,12 Dec 2021,L472208,S98881131,,1
46,6853,species,Wilson's Storm-Petrel,Oceanites oceanicus,3,"Gulf of Maine, Gouldsboro US-ME (44.3503,-67.9327)",US-ME,01 Jul 2021,L15597555,S91085132,,1
47,6699,species,Roseate Tern,Sterna dougallii,1,"Gulf of Maine, Gouldsboro US-ME (44.3503,-67.9327)",US-ME,01 Jul 2021,L15597555,S91085132,,1
49,6672,species,Arctic Tern,Sterna paradisaea,2,"Gulf of Maine, Gouldsboro US-ME (44.3503,-67.9327)",US-ME,01 Jul 2021,L15597555,S91085132,,1
50,6356,species,Black Guillemot,Cepphus grylle,35,"Gulf of Maine, Gouldsboro US-ME (44.3503,-67.9327)",US-ME,01 Jul 2021,L15597555,S91085132,,1
51,6339,species,Atlantic Puffin,Fratercula arctica,80,"Gulf of Maine, Gouldsboro US-ME (44.3503,-67.9327)",US-ME,01 Jul 2021,L15597555,S91085132,,1
52,3235,species,Black-billed Cuckoo,Coccyzus erythropthalmus,2,Mount Greylock State Reservation--Jones Nose,US-MA,24 Jun 2021,L15005343,S90713647,,1
53,20696,species,Northern Shrike,Lanius borealis,1,Berkshire Community College--Fields,US-MA,23 Feb 2021,L5105541,S82218553,,1
54,31563,species,Evening Grosbeak,Coccothraustes vespertinus,13,Cherokee NF--Wilbur Lake,US-TN,26 Dec 2020,L482506,S78018230,,1
55,3630,species,Eastern Whip-poor-will,Antrostomus vociferus,1,George Washington,US-WV,10 Jul 2020,L11884684,S71404194,,1
56,16642,species,Alder Flycatcher,Empidonax alnorum,1,Spruce Knob Lake,US-WV,27 Jun 2020,L1258905,S70910254,,1
